name,pop,location
Rayside-Balfour,16050,"https://www.google.com/maps/?q=46.6087,-81.2076"
Petawawa,15988,"https://www.google.com/maps/?q=45.8945,-77.2801"
Fort Erie,15953,"https://www.google.com/maps/?q=42.9001,-78.9329"
Candiac,15947,"https://www.google.com/maps/?q=45.3834,-73.5159"
Yellowknife,15865,"https://www.google.com/maps/?q=62.4541,-114.372"
Collingwood,15809,"https://www.google.com/maps/?q=44.4834,-80.2164"
Mont-Saint-Hilaire,15720,"https://www.google.com/maps/?q=45.5652,-73.1868"
Camrose,15686,"https://www.google.com/maps/?q=53.0168,-112.835"
Yorkton,15669,"https://www.google.com/maps/?q=51.2167,-102.468"
Saint-Basile-le-Grand,15605,"https://www.google.com/maps/?q=45.5334,-73.2825"
Leduc,15561,"https://www.google.com/maps/?q=53.2668,-113.552"
Pembroke,15551,"https://www.google.com/maps/?q=45.8168,-77.1162"
Magog,15550,"https://www.google.com/maps/?q=45.2668,-72.1491"
Greater Napanee,15132,"https://www.google.com/maps/?q=44.2501,-76.9494"
Kenora,15096,"https://www.google.com/maps/?q=49.7674,-94.4899"
le Plateau,15000,"https://www.google.com/maps/?q=45.4351,-75.7803"
Fort Saskatchewan,14957,"https://www.google.com/maps/?q=53.7168,-113.219"
Okotoks,14826,"https://www.google.com/maps/?q=50.7289,-113.983"
Gaspe,14819,"https://www.google.com/maps/?q=48.8334,-64.4819"
Matane,14812,"https://www.google.com/maps/?q=48.8286,-67.522"
Summerside,14808,"https://www.google.com/maps/?q=46.3959,-63.7876"
Prince Rupert,14708,"https://www.google.com/maps/?q=54.3151,-130.321"
Swift Current,14703,"https://www.google.com/maps/?q=50.2834,-107.801"
Colwood,14687,"https://www.google.com/maps/?q=48.4329,-123.486"
Rosemere,14173,"https://www.google.com/maps/?q=45.6334,-73.7992"
Williams Lake,14168,"https://www.google.com/maps/?q=52.1415,-122.145"
Saint-Lin-Laurentides,14159,"https://www.google.com/maps/?q=45.8501,-73.7659"
Simcoe,13922,"https://www.google.com/maps/?q=42.8334,-80.2997"
Quesnel,13788,"https://www.google.com/maps/?q=52.9784,-122.493"
Bay Roberts,13737,"https://www.google.com/maps/?q=47.5999,-53.2648"
Mont-Laurier,13405,"https://www.google.com/maps/?q=46.5501,-75.4993"
Portage la Prairie,12957,"https://www.google.com/maps/?q=49.9728,-98.2926"
Dolbeau-Mistassini,12916,"https://www.google.com/maps/?q=48.8786,-72.2314"
Powell River,12779,"https://www.google.com/maps/?q=49.8328,-124.524"
Brooks,12744,"https://www.google.com/maps/?q=50.5834,-111.885"
Bathurst,12714,"https://www.google.com/maps/?q=47.6181,-65.6511"
Kentville,12636,"https://www.google.com/maps/?q=45.0771,-64.496"
Elliot Lake,12508,"https://www.google.com/maps/?q=46.3834,-82.6331"
Thompson,12467,"https://www.google.com/maps/?q=55.7435,-97.8558"
Aldergrove,12363,"https://www.google.com/maps/?q=49.058,-122.471"
Canmore,12288,"https://www.google.com/maps/?q=51.0834,-115.352"
Hawkesbury,12283,"https://www.google.com/maps/?q=45.6001,-74.616"
North Perth,12254,"https://www.google.com/maps/?q=43.7251,-80.9672"
Grand Falls-Windsor,12076,"https://www.google.com/maps/?q=48.9332,-55.6649"
